
Имя образа                     PID Имя сессии          № сеанса       Память Состояние       Пользователь                                           Время ЦП Заголовок окна                                                          
launcher.exe                   632 Console                    1    43 364 КБ Running         Н/Д                                                     0:02:34 QTrayIconMessageWindow                                                  
browser.exe                  14592 Console                    1   250 220 КБ Running         DESKTOP-62C48T1\777                                     0:15:12 Memory Management - Яндекс.Браузер                                      
browser.exe                   7156 Console                    1     6 252 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 Н/Д                                                                     
browser.exe                   9780 Console                    1   334 160 КБ Running         DESKTOP-62C48T1\777                                     0:23:47 Н/Д                                                                     
SystemSettings.exe            9664 Console                    1        28 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 Параметры                                                               
MobaXterm.exe                18564 Console                    1    51 996 КБ Running         DESKTOP-62C48T1\777                                     0:00:17 MobaXterm                                                               
XWin_MobaX.exe               13528 Console                    1    17 612 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 xwinclip                                                                
MoTTY.exe                     2276 Console                    1    18 212 КБ Running         DESKTOP-62C48T1\777                                     0:00:45 Н/Д                                                                     
smartscreen.exe               8936 Console                    1    22 080 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 OleMainThreadWndName                                                    
RuntimeBroker.exe             5396 Console                    1    21 880 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 OleMainThreadWndName                                                    
